epoch,phase,loss
1,train,0.0039
1,dev,0.5924
2,train,0.0032
2,dev,0.6046
3,train,0.0033
3,dev,0.5753
4,train,0.0036
4,dev,0.5828
5,train,0.0039
5,dev,0.5903
6,train,0.0043
6,dev,0.5843
7,train,0.0047
7,dev,0.5886
8,train,0.0053
8,dev,0.5993
9,train,0.0061
9,dev,0.5804
10,train,0.0068
10,dev,0.5993
11,train,0.0077
11,dev,0.5839
12,train,0.0087
12,dev,0.6044
13,train,0.0098
13,dev,0.5978
14,train,0.0113
14,dev,0.5936
15,train,0.0133
15,dev,0.5845
16,train,0.0157
16,dev,0.5956
17,train,0.0185
17,dev,0.5937
18,train,0.0220
18,dev,0.5966
19,train,0.0261
19,dev,0.6052
20,train,0.0307
20,dev,0.5885
